Error Code,Meaning/Message
402, Payment Required Reserved for future use. The original intention was that this code might be used as part of some form of digital cash or micropayment scheme; as proposed; for example; by GNU Taler;[20] but that has not yet happened; and this code is not widely used. Google Developers API uses this status if a particular developer has exceeded the daily limit on requests.[21] Sipgate uses this code if an account does not have sufficient funds to start a call.[22] Shopify uses this code when the store has not paid their fees and is temporarily disabled.[23] Stripe uses this code for failed payments where parameters were correct; for example blocked fraudulent payments.[24] Cloudflare Turnstile uses this code when requesting resources with cURL. x402 is an open standard that repurposes the HTTP 402 "Payment Required" status code.
403, Forbidden The request was valid; but the server refuses action. This may be due to the user not having permission to a resource or needing an account of some sort; or attempting a prohibited action (e.g. creating a duplicate record where only one is allowed). This code is also typically used if the request provided authentication by answering the WWW-Authenticate header field challenge; but the server did not accept that authentication. The request should not be repeated. This code differs from 401 in that while 401 is returned when the client has not authenticated; and implies that a successful response may be returned following valid authentication; 403 is returned when the client is not permitted access to the resource despite providing authentication such as insufficient permissions of the authenticated account. The Apache web server returns 403 in response to a request for URL[25] paths that corresponded to a file system directory when directory listing is disabled and there is no Directory Index directive to specify an existing file to be returned to the browser. Some administrators configure the Mod proxy extension to block such requests and this will also return 403. IIS responds in the same way when directory listings are denied in that server. In WebDAV; 403 is returned if the client issued a PROPFIND request but did not also issue the required Depth header or issued a Depth header of infinity.[25]
404, Not Found Main article: HTTP 404 The requested resource could not be found but may be available in the future. Subsequent requests by the client are permissible.
405, Method Not Allowed A request method is not supported for the requested resource (for example; a GET request on a form that requires data to be presented via POST; or a PUT request on a read-only resource).
406, Not Acceptable The requested resource is capable of generating only content not acceptable according to the Accept headers sent in the request. See Content negotiation.
407, Proxy Authentication Required The client must first authenticate itself with the proxy.
408, Request Timeout The server timed out waiting for the request. According to HTTP specifications: "The client did not produce a request within the time that the server was prepared to wait. The client MAY repeat the request without modifications at any later time."
409, Conflict Indicates that the request could not be processed because of conflict in the current state of the resource; such as an edit conflict between multiple simultaneous updates.[26]
410, Gone Indicates that the resource requested was previously in use but is no longer available and will not be available again. This should be used when a resource has been intentionally removed and the resource should be purged. Upon receiving a 410 status code; the client should not request the resource in the future. Clients such as search engines should remove the resource from their indices. Most use cases do not require clients and search engines to purge the resource; and a "404 Not Found" may be used instead.
411, Length Required The request did not specify the length of its content; which is required by the requested resource.
412, Precondition Failed The server does not meet one of the preconditions that the requester put on the request header fields.
413, Content Too Large The request is larger than the server is willing or able to process. Previously called "Request Entity Too Large" and "Payload Too Large".[27]: §10.4.14 [2]: §15.5.14 
414, URI Too Long The URI provided was too long for the server to process. Often the result of too much data being encoded as a query-string of a GET request; in which case it should be converted to a POST request. Called "Request-URI Too Long" previously.[27]: §10.4.15 
415, Unsupported Media Type The request entity has a media type which the server or resource does not support. For example; the client uploads an image as image/svg+xml; but the server requires that images use a different format.
416, Range Not Satisfiable The client has asked for a portion of the file (byte serving); but the server cannot supply that portion. For example; if the client asked for a part of the file that lies beyond the end of the file. Called "Requested Range Not Satisfiable" previously.[27]: §10.4.17 
417, Expectation Failed The server cannot meet the requirements of the Expect request-header field.[28]
418, I'm a teapot (RFC 2324; RFC 7168) This code was defined in 1998 as one of the traditional IETF April Fools' jokes; in RFC 2324; Hyper Text Coffee Pot Control Protocol; and is not expected to be implemented by actual HTTP servers. The RFC specifies this code should be returned by teapots requested to brew coffee.[29] This HTTP status is used as an Easter egg in some websites; such as Google.com's "I'm a teapot" easter egg.[30][31] Sometimes; this status code is also used as a response to a blocked request; instead of the more appropriate 403 Forbidden.[32][33]
421, Misdirected Request The request was directed at a server that is not able to produce a response (for example because of connection reuse).
422, Unprocessable Content The request was well-formed (i.e.; syntactically correct) but could not be processed.[2]: §15.5.21 
423, Locked (WebDAV; RFC 4918) The resource that is being accessed is locked.[7]
424, Failed Dependency (WebDAV; RFC 4918) The request failed because it depended on another request and that request failed (e.g.; a PROPPATCH).[7]
425, Too Early (RFC 8470) Indicates that the server is unwilling to risk processing a request that might be replayed.
426, Upgrade Required The client should switch to a different protocol such as TLS/1.3; given in the Upgrade header field.
428, Precondition Required (RFC 6585) The origin server requires the request to be conditional. Intended to prevent the 'lost update' problem; where a client GETs a resource's state; modifies it; and PUTs it back to the server; when meanwhile a third party has modified the state on the server; leading to a conflict.[34]
429, Too Many Requests (RFC 6585) The user has sent too many requests in a given amount of time. Intended for use with rate-limiting schemes.[34]
431, Request Header Fields Too Large (RFC 6585) The server is unwilling to process the request because either an individual header field; or all the header fields collectively; are too large.[34]
451, Unavailable For Legal Reasons (RFC 7725) A server operator has received a legal demand to deny access to a resource or to a set of resources that includes the requested resource.[35] The code 451 was chosen as a reference to the novel Fahrenheit 451.[36] See also: HTTP 451

5xx, server error 5xx status indicates that the server is aware that it has encountered an error or is otherwise incapable of performing the request. Except when responding to a HEAD request; the server should include an entity containing an explanation of the error situation; and indicate whether it is a temporary or permanent condition. Likewise; user agents should display any included entity to the user. These response codes are applicable to any request method.

500, Internal Server Error A generic error message; given when an unexpected condition was encountered and no more specific message is suitable.
501, Not Implemented The server either does not recognize the request method; or it lacks the ability to fulfil the request. Usually this implies future availability (e.g.; a new feature of a web-service API).
502, Bad Gateway The server was acting as a gateway or proxy and received an invalid response from the upstream server.
503, Service Unavailable The server cannot handle the request (because it is overloaded or down for maintenance). Generally; this is a temporary state.[37]
504, Gateway Timeout The server was acting as a gateway or proxy and did not receive a timely response from the upstream server.
505, HTTP Version Not Supported The server does not support the HTTP version used in the request.
506, Variant Also Negotiates (RFC 2295) Transparent content negotiation for the request results in a circular reference.[38]
507, Insufficient Storage (WebDAV; RFC 4918) The server is unable to store the representation needed to complete the request.[7]
508, Loop Detected (WebDAV; RFC 5842) The server detected an infinite loop while processing the request (sent instead of 208 Already Reported).
510, Not Extended (RFC 2774) Further extensions to the request are required for the server to fulfil it.[39]
511, Network Authentication Required (RFC 6585)
